,Actual,Predicted
186,[4.   0.8  1.57],[3.9990952  0.79779875 1.551788  ]
187,[1.6  2.4  1.77],[1.5635363 2.4151103 1.6804733]
188,[3.2  3.2  1.37],[3.2174246 3.2521656 1.6218662]
189,[4.   1.6  0.77],[4.0493975  1.5713358  0.76034045]
190,[0.8  2.4  1.77],[0.7925081 2.4013858 1.7955647]
191,[0.8  4.   0.57],[0.78397775 4.0303583  0.51083565]
192,[3.2  1.6  1.97],[3.1604931 1.6294441 1.9563425]
193,[2.4  2.4  0.57],[2.4179163 2.403658  0.6207424]
194,[1.6  1.6  0.57],[1.6858218 1.5734015 0.7036977]
195,[0.8  1.6  1.37],[0.79661   1.6094308 1.2638526]
196,[2.4  3.2  0.97],[2.416471   3.2746892  0.93355155]
197,[3.2  3.2  0.77],[3.2027647 3.2529235 0.9574342]
198,[1.6  3.2  0.37],[1.6585714 3.0945463 2.0825913]
199,[1.6  0.8  1.57],[1.5979767 0.7980646 1.6317724]
200,[3.2  3.2  0.97],[3.229956  3.2473204 1.0392748]
201,[2.4  0.8  1.17],[2.4159806  0.80337137 1.1426191 ]
202,[4.   4.   1.17],[4.028131  4.074846  1.4351275]
203,[3.2  4.   2.17],[3.2229588 4.065533  2.5416179]
204,[4.   0.8  0.37],[4.013568   0.78744966 0.24953143]
205,[4.   4.   1.77],[4.060537  4.0355453 2.1904297]
206,[2.4  3.2  0.57],[2.4105349 3.2296948 0.4146914]
207,[0.8  4.   1.57],[0.8093382 4.014431  1.5289619]
208,[1.6  4.   1.97],[1.594789  4.0011244 2.0527775]
209,[1.6  0.8  1.17],[1.5922828 0.7963988 1.1112118]
210,[2.4  1.6  1.17],[2.4118     1.5748787  0.59763235]
211,[1.6  0.8  1.57],[1.603857   0.80653346 1.6962761 ]
212,[1.6  3.2  2.17],[1.6646338 3.1034782 1.9143758]
213,[1.6  3.2  1.57],[1.5813437 3.1882536 1.6278582]
214,[3.2  2.4  1.77],[3.2174032 2.4251642 1.6659901]
215,[4.   0.8  0.57],[3.986936  0.8035103 0.4738528]
216,[1.6  2.4  1.17],[1.5847634 2.4095337 1.0313997]
217,[1.6  1.6  1.57],[1.5970029 1.5993383 1.6047235]
218,[1.6  0.8  1.37],[1.5985352  0.79526407 1.4807063 ]
219,[4.   3.2  1.17],[4.0343    3.2261882 1.3824492]
220,[1.6  2.4  1.17],[1.5656455 2.41205   0.964141 ]
221,[3.2  1.6  0.97],[3.1999843 1.5303593 0.9349798]
222,[2.4  0.8  0.37],[2.4067445  0.810632   0.22167547]
223,[1.6  4.   2.17],[1.5890198 4.004574  2.2529151]
224,[0.8  0.8  0.77],[0.7826789 0.8138871 0.613033 ]
225,[2.4  1.6  1.37],[2.425248  1.6136832 1.2599778]
226,[0.8  3.2  1.57],[0.7094946 3.2239895 1.544186 ]
227,[0.8  0.8  0.97],[0.79499495 0.8252219  0.952673  ]
228,[1.6  1.6  0.37],[1.6034341 1.610955  0.5488529]
229,[4.   4.   0.37],[4.014454   4.0567966  0.44886294]
230,[3.2  2.4  0.97],[3.1875398  2.4261882  0.97528034]
231,[4.   2.4  1.57],[4.0111513 2.4161782 1.2320776]
232,[2.4  0.8  0.17],[2.4044     0.79757464 0.17114563]
233,[0.8  0.8  1.37],[0.80286604 0.81917614 1.3163004 ]
234,[4.   4.   1.17],[4.0093937 4.0584807 1.4933205]
235,[0.8  2.4  0.17],[0.8394847  2.4481878  0.27652568]
236,[3.2  2.4  0.97],[3.1888926 2.3857973 0.9507446]
